ssd_generation staged_assisted_decoding:47        :42.0   Mb :1049.2 Mb     # Assistant: initialize assistant-related variables
ssd_generation staged_assisted_decoding:226       :66.0   Mb :1115.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :2.0    Mb :1117.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :4.0    Mb :1121.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :6.0    Mb :1127.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :6.0    Mb :1133.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :4.0    Mb :1137.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :6.0    Mb :1143.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :6.0    Mb :1149.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :2.0    Mb :1151.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :2.0    Mb :1153.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :2.0    Mb :1155.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :2.0    Mb :1157.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :2.0    Mb :1159.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :2.0    Mb :1161.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :6.0    Mb :1167.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :6.0    Mb :1173.2 Mb                 "assistant_past_key_values"
ssd_generation staged_assisted_decoding:226       :2.0    Mb :1175.2 Mb                 "assistant_past_key_values"
